time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552562713444,301.53537,303.97754,298.99127,5.1486106,6.2679152,6.1597586,5.4900165,0,98.7532,124.12095,93.50781,627.6365,170.58052,2.2479055
1552562773441,308.49634,300.76736,303.3489,5.156534,6.2773995,6.1867523,5.506982,0,98.78252,123.4564,95.57389,638.5609,173.2962,2.156496
1552562833455,303.07886,302.99326,296.8747,5.153187,6.278312,6.1751146,5.478951,0,98.824974,123.27732,95.78262,629.65485,179.97249,2.1215453
1552562893951,322.7118,315.9434,309.6994,5.1351194,6.284461,6.159431,5.489981,0,98.94864,129.81789,96.548546,633.1451,184.68973,2.0310993
1552562953949,315.55597,312.79483,302.3939,5.154232,6.2716775,6.170404,5.4972925,0,99.015305,121.344185,96.58491,630.355,177.47498,2.1576474
1552563013947,314.34998,316.06946,305.11774,5.147271,6.2704988,6.146752,5.44351,0,99.11843,122.41302,96.57253,639.5258,176.93556,2.2114778
1552563073944,315.91464,315.74374,308.80096,5.1536417,6.272607,6.0923867,5.4186144,0,99.080864,121.19759,94.5314,631.2839,180.05269,2.3864193
1552563133942,318.60928,311.5745,308.97662,5.147903,6.2708135,6.141155,5.446662,0,98.9793,117.4307,94.126724,634.2432,174.91205,2.5008006
1552563193955,313.85574,312.4785,307.1323,5.146539,6.2782693,6.191932,5.5425396,0,98.73385,119.33458,92.12059,644.9361,175.9338,2.49145
1552563254452,313.6879,315.69452,305.41302,5.1540046,6.275485,6.2904477,5.6149163,0,98.36746,123.4122,94.09782,636.69946,179.23885,2.575308
1552563314449,318.93854,311.50375,305.35855,5.1496797,6.2687755,6.356795,5.683579,0,98.20655,120.889404,96.12386,638.0426,179.21477,2.240537
1552563374447,313.61865,310.79593,302.64145,5.154081,6.2681165,6.352179,5.692976,0,98.14058,122.098816,96.30461,638.642,173.81145,2.2148135
1552563434445,312.7856,317.2463,304.8155,5.139411,6.373436,6.510048,5.833945,0,98.23849,122.4503,95.329926,641.4568,180.40292,2.0821896
1552563494442,317.7857,310.96326,306.64926,5.1529694,6.3696995,6.49399,5.8218746,0,98.40757,121.59014,93.29245,640.4854,175.37625,1.9629226
